Comment,Designator,Footprint,LCSC
100uF/50V,C1,Capacitor_SMD:CP_Elec_6.3x7.7,C134220
1000uF/16V,C2,Capacitor_SMD:CP_Elec_10x10.5,C280408
SS34,"D1,D3",Diode_SMD:D_SMA,C8678
100uH,L1,ADX_FOOTPRINT_LIBRARY:L_Bourns-SRN8040_8x8.15mm-MOD,C408533
1k,R1,Resistor_SMD:R_0805_2012Metric,C17513
LM2576S-5,U2,Package_TO_SOT_SMD:TO-263-5_TabPin3,C194472
